DESTINATION,HOTEL_TYPE,STARS,PRICE_PER_NIGHT,ROOM_TYPE
Agra,Budget Hotel,5,125,Executive - Near Airport
Agra,Luxury Resort,5,258,Deluxe - Downtown
Ahmedabad,Business Hotel,2,101,Deluxe - Historic District
Ahmedabad,Business Hotel,4,183,Deluxe - Downtown
Ahmedabad,Budget Hotel,3,229,Suite - Beachfront
Ahmedabad,Business Hotel,4,183,Suite - Beachfront
Alleppey,Business Hotel,3,94,Standard - Beachfront
Alleppey,Mountain Lodge,2,87,Standard - Lake View
Alleppey,Luxury Resort,4,55,Standard - Hilltop
Alleppey,Heritage Hotel,2,161,Executive - Beachfront
Amritsar,Luxury Resort,5,160,Standard - Near Airport
Amritsar,Boutique Hotel,3,219,Suite - Beachfront
Bangalore,Mountain Lodge,5,85,Family Room - Lake View
Bangalore,Luxury Resort,3,78,Family Room - Historic District
Bangalore,Business Hotel,2,42,Deluxe - Hilltop
Bhopal,Business Hotel,3,49,Standard - Beachfront
Bhopal,Business Hotel,5,179,Family Room - Downtown
Bhubaneswar,Budget Hotel,5,89,Suite - Historic District
Bhubaneswar,Heritage Hotel,2,208,Family Room - Beachfront
Bhubaneswar,Boutique Hotel,2,85,Deluxe - Downtown
Chandigarh,Beach Resort,2,181,Family Room - Hilltop
Chandigarh,Budget Hotel,2,180,Executive - Downtown
Chennai,Mountain Lodge,4,98,Family Room - Hilltop
Chennai,Business Hotel,3,36,Suite - Historic District
Chennai,Heritage Hotel,2,112,Deluxe - Lake View
Chennai,Mountain Lodge,3,232,Deluxe - Downtown
Coimbatore,Business Hotel,2,152,Suite - Lake View
Coimbatore,Budget Hotel,3,144,Family Room - Beachfront
Darjeeling,Business Hotel,2,89,Suite - Near Airport
Darjeeling,Business Hotel,4,86,Standard - Downtown
Dehradun,Mountain Lodge,5,72,Deluxe - Lake View
Dehradun,Budget Hotel,5,51,Executive - Downtown
Delhi,Luxury Resort,2,234,Executive - Downtown
Delhi,Boutique Hotel,5,156,Family Room - Near Airport
Delhi,Boutique Hotel,2,245,Executive - Beachfront
Gangtok,Boutique Hotel,5,217,Deluxe - Near Airport
